url	first_seen	portal	title	company	status	location
https://adobe.wd5.myworkdayjobs.com/external_experienced/job/Bangalore/Sr-Computer-Scientist--Data-Platform-Engineer-_R166812	2026-06-16	workday-api	Sr. Computer Scientist (Data Platform Engineer)	Adobe	added	Bangalore
https://mastercard.wd1.myworkdayjobs.com/CorporateCareers/job/Pune-India/Principal-BizOps-Engineer_R-273203	2026-06-16	workday-api	Principal Site Reliability Engineer	Mastercard	added	Pune, India
https://mastercard.wd1.myworkdayjobs.com/CorporateCareers/job/Pune-India/Manager--Site-Reliability-Engineering_R-274255-1	2026-06-16	workday-api	Manager, Site Reliability Engineering	Mastercard	added	Pune, India
https://mastercard.wd1.myworkdayjobs.com/CorporateCareers/job/Pune-India/Director--Site-Reliability-Engineering_R-276770	2026-06-16	workday-api	Director, Site Reliability Engineering	Mastercard	added	Pune, India
https://mastercard.wd1.myworkdayjobs.com/CorporateCareers/job/Pune-India/Lead-Software-Engineer_R-273023	2026-06-16	workday-api	Lead Software Engineer(Release Management, CI/CD)	Mastercard	added	Pune, India
https://mastercard.wd1.myworkdayjobs.com/CorporateCareers/job/Remote---Utah/Senior-Site-Reliability-Engineer_R-278771-1	2026-06-16	workday-api	Senior Site Reliability Engineer	Mastercard	added	Remote - Utah
https://mastercard.wd1.myworkdayjobs.com/CorporateCareers/job/Pune-India/Lead-Site-Reliability-Engineer_R-274117	2026-06-16	workday-api	Lead Site Reliability Engineer	Mastercard	added	Pune, India
https://mastercard.wd1.myworkdayjobs.com/CorporateCareers/job/Pune-India/Director---Platform-Engineering_R-276684-1	2026-06-16	workday-api	Director – Platform Engineering	Mastercard	added	Pune, India
https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/Bangalore-India/Site-Reliability-Engineer_2013339-1	2026-06-16	workday-api	Site Reliability Engineer	Cisco	added	Bangalore, India
https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/Bangalore-India/AI-Infrastructure-Engineer---GoLang--Kubernetes--Dockers--Linux---8-12-years_2011044	2026-06-16	workday-api	AI Infrastructure Engineer - GoLang, Kubernetes, Dockers, Linux - 8-12 years	Cisco	added	Bangalore, India
https://thomsonreuters.wd5.myworkdayjobs.com/External_Career_Site/job/India-Bengaluru-Karnataka/Senior-Site-Reliability-Engineer_JREQ200783-1	2026-06-16	workday-api	Senior Site Reliability Engineer	Thomson Reuters	added	
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/India-Pune/Senior-DevOps-Engineer_JR2017356	2026-06-16	workday-api	Senior DevOps Engineer	NVIDIA	added	India, Pune
https://mastercard.wd1.myworkdayjobs.com/CorporateCareers/job/Pune-India/Senior-Site-Reliability-Engineer_R-278288	2026-06-16	workday-api	Senior Site Reliability Engineer	Mastercard	added	Pune, India
https://www.okta.com/company/careers/opportunity/7247309?gh_jid=7247309	2026-06-16	greenhouse-api	Manager Site Reliability Engineer	Okta	added	Bengaluru, India
https://www.okta.com/company/careers/opportunity/7845385?gh_jid=7845385	2026-06-16	greenhouse-api	Manager- Site Reliability Engineering	Okta	added	Bengaluru, India
https://www.okta.com/company/careers/opportunity/7648974?gh_jid=7648974	2026-06-16	greenhouse-api	Principal Data Platform Engineer (Bengaluru)	Okta	added	Bengaluru, India
https://www.okta.com/company/careers/opportunity/8002576?gh_jid=8002576	2026-06-16	greenhouse-api	Principal Site Reliability Engineer	Okta	added	Bengaluru, India
https://www.okta.com/company/careers/opportunity/7648977?gh_jid=7648977	2026-06-16	greenhouse-api	Senior Data Platform Engineer (Bengaluru)	Okta	added	Bengaluru, India
https://www.okta.com/company/careers/opportunity/7839826?gh_jid=7839826	2026-06-16	greenhouse-api	Staff Site Reliability Engineer	Okta	added	Bengaluru, India
https://www.okta.com/company/careers/opportunity/6671260?gh_jid=6671260	2026-06-16	greenhouse-api	Staff Site Reliability Engineer, Security- GCP	Okta	added	Bengaluru, India
https://www.okta.com/company/careers/opportunity/6874616?gh_jid=6874616	2026-06-16	greenhouse-api	Staff Site Reliability Engineer- Splunk Expert	Okta	added	Bengaluru, India
https://www.okta.com/company/careers/opportunity/6866775?gh_jid=6866775	2026-06-16	greenhouse-api	Systems Engineer - Productivity Engineering	Okta	added	Bengaluru, India
https://job-boards.greenhouse.io/newrelic/jobs/5116768008	2026-06-16	greenhouse-api	Senior Software Engineer - GoLang & Kubernetes Orchestration - (R0000335) Bangalore	New Relic	added	Bangalore, India
https://www.fivetran.com/careers/job?gh_jid=7723267003	2026-06-16	greenhouse-api	Staff Site Reliability Engineer	Fivetran	added	Bengaluru, Karnataka, India, APAC
https://job-boards.greenhouse.io/clickhouse/jobs/5717944004	2026-06-16	greenhouse-api	Senior Infrastructure Engineer - Postgres	ClickHouse	added	India (remote)
https://job-boards.greenhouse.io/clickhouse/jobs/5819678004	2026-06-16	greenhouse-api	Senior Software Engineer - Cloud Infrastructure	ClickHouse	added	Amsterdam(Remote)
https://job-boards.greenhouse.io/yugabyte/jobs/4688005006	2026-06-16	greenhouse-api	Sr DevOps Engineer	Yugabyte	added	India
https://jobs.ashbyhq.com/snowflake/cbc2087c-f5fc-48b7-8d23-114836a42e3e	2026-06-16	ashby-api	Cloud Infrastructure Engineer	Snowflake	added	IN-Pune
https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/Bangalore-India/AI-Infrastructure-Engineer---GoLang--Kubernetes--Dockers--Linux---8-12-years_2011042	2026-06-16	workday-api	AI Infrastructure Engineer - GoLang, Kubernetes, Dockers, Linux - 8-12 years	Cisco	added	Bangalore, India
https://jobs.smartrecruiters.com/Freshworks/postings/744000132336509	2026-06-16	smartrecruiters-api	Senior Software Engineer - Site Reliability	Freshworks	added	Chennai, , India
https://jobs.smartrecruiters.com/Freshworks/postings/744000131683549	2026-06-16	smartrecruiters-api	Engineering Manager - Platform Engineering	Freshworks	added	Bengaluru, , India
https://jobs.smartrecruiters.com/Experian/postings/744000131892180	2026-06-16	smartrecruiters-api	DevOps and Automation Engineer	Experian	added	Hyderabad, , India
